cost_scenario,is_baseline,period,start_date,end_date,trading_days,strategy_total_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_zero_rf,strategy_max_drawdown_within_period,benchmark_total_return,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_max_drawdown_within_period,annualized_return_difference,terminal_relative_nav,tracking_error_annualized,information_ratio,average_cash_weight,maximum_cash_weight,maximum_stale_price_weight,terminal_stale_price_weight,terminal_stale_price_market_value,two_way_turnover,total_commission_slippage_cost,total_stamp_duty_cost,total_trading_cost,failed_buy_orders,failed_sell_orders
BASE_10BPS,True,FINAL_OOS_2022_2025,2022-01-04,2025-12-31,969,0.35854725946445654,0.08294817837983626,0.1748825761069681,0.5433960994780265,-0.19805168966325093,-0.008490200534521541,-0.0022149477035350307,0.1989863418794581,-0.38470783700936617,0.08516312608337129,1.370180365536324,0.14226495456724642,0.544371502813087,0.0009505930058545551,0.02770096908872293,0.02929209011637905,0.011687143947856693,2496420.3057934474,18.472934134191107,3299427.330935678,1200311.1041613347,4499738.435097013,24,85
STRESS_20BPS,False,FINAL_OOS_2022_2025,2022-01-04,2025-12-31,969,0.33380507154168293,0.07778407027311363,0.17478714833430248,0.5162431821618593,-0.2012966126471224,-0.008490200534521541,-0.0022149477035350307,0.1989863418794581,-0.38470783700936617,0.07999901797664866,1.345226312700828,0.14233284426608644,0.5104032834016703,0.0009496250129018345,0.02766155785737429,0.029350704236102435,0.011795673294423981,2389399.3171856306,18.452861757614603,6306980.501607167,1150166.2423298103,7457146.743936976,24,85
STRESS_5BPS,False,FINAL_OOS_2022_2025,2022-01-04,2025-12-31,969,0.37110649383448524,0.08554291252199175,0.1749343658982863,0.5569706829362061,-0.19642257450837186,-0.008490200534521541,-0.0022149477035350307,0.1989863418794581,-0.38470783700936617,0.08775786022552678,1.3828471433904606,0.1422358869897948,0.5613758406928733,0.0009510771738904725,0.027720712198575758,0.02926281082098494,0.011633192226227818,2551786.653564465,18.48302556822963,1687523.7667445368,1226244.9593394285,2913768.726083965,24,85
